,user_id,ISBN,rating,title,author,Image,publisher,number of ratings
33413,278418,425178102,7,Big Trouble,Dave Barry,http://images.amazon.com/images/P/0425178102.01.LZZZZZZZ.jpg,Berkley Publishing Group,77
33583,278418,042518630X,7,Purity in Death,J.D. Robb,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,Berkley Publishing Group,62
34067,278418,440184622,7,Tai-Pan,JAMES CLAVELL,http://images.amazon.com/images/P/0440184622.01.LZZZZZZZ.jpg,Dell,23
34360,278418,440207622,7,Daddy,DANIELLE STEEL,http://images.amazon.com/images/P/0440207622.01.LZZZZZZZ.jpg,Dell,74
36069,278418,440479002,9,The Sign of the Beaver,Elizabeth George Speare,http://images.amazon.com/images/P/0440479002.01.LZZZZZZZ.jpg,Yearling Books,20
39894,278418,451173392,6,The Carbohydrate Addict's Diet: The Lifelong Solution to Yo-Yo Dieting,Rachael F. Heller,http://images.amazon.com/images/P/0451173392.01.LZZZZZZZ.jpg,Signet Book,22
41525,278418,515130389,8,Carolina Moon,Nora Roberts,http://images.amazon.com/images/P/0515130389.01.LZZZZZZZ.jpg,Jove Books,88
41621,278418,515131229,8,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,http://images.amazon.com/images/P/0515131229.01.LZZZZZZZ.jpg,Jove Books,100
46652,278418,671502522,7,A Holiday Of Love,Judith McNaught,http://images.amazon.com/images/P/0671502522.01.LZZZZZZZ.jpg,Pocket,29
49502,278418,786862572,5,I'm Not Really Here,Tim Allen,http://images.amazon.com/images/P/0786862572.01.LZZZZZZZ.jpg,Hyperion Books,33
53793,254,037582345X,9,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,http://images.amazon.com/images/P/037582345X.01.LZZZZZZZ.jpg,Knopf Books for Young Readers,131
53924,254,375823468,9,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,http://images.amazon.com/images/P/0375823468.01.LZZZZZZZ.jpg,Knopf Books for Young Readers,83
54112,254,380973650,9,American Gods: A Novel,Neil Gaiman,http://images.amazon.com/images/P/0380973650.01.LZZZZZZZ.jpg,William Morrow,29
54154,254,380977281,8,Stardust,Neil Gaiman,http://images.amazon.com/images/P/0380977281.01.LZZZZZZZ.jpg,William Morrow,43
54350,254,399146431,9,The Bonesetter's Daughter,Amy Tan,http://images.amazon.com/images/P/0399146431.01.LZZZZZZZ.jpg,Putnam Publishing Group,135
54586,254,439139597,9,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg,Scholastic,125
55560,254,451167317,8,The Dark Half,Stephen King,http://images.amazon.com/images/P/0451167317.01.LZZZZZZZ.jpg,Signet Book,91
55689,254,451409256,7,Making Minty Malone,Isabel Wolff,http://images.amazon.com/images/P/0451409256.01.LZZZZZZZ.jpg,Onyx Books,20
55722,254,451524934,9,1984,George Orwell,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg,Signet Book,76
55810,254,451526341,8,Animal Farm,George Orwell,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg,Signet,70
56735,254,618002219,9,The Hobbit: or There and Back Again,J.R.R. Tolkien,http://images.amazon.com/images/P/0618002219.01.LZZZZZZZ.jpg,Houghton Mifflin Company,31
56766,254,618002227,8,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,http://images.amazon.com/images/P/0618002227.01.LZZZZZZZ.jpg,Houghton Mifflin Company,107
56978,254,671021001,7,She's Come Undone (Oprah's Book Club),Wally Lamb,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg,Pocket,128
58132,2276,61030643,8,The Associate,Phillip Margolin,http://images.amazon.com/images/P/0061030643.01.LZZZZZZZ.jpg,HarperTorch,30
58166,2276,61099155,9,People of Darkness (Jim Chee Novels),Tony Hillerman,http://images.amazon.com/images/P/0061099155.01.LZZZZZZZ.jpg,HarperTorch,20
58546,2276,345379144,10,Zombies of the Gene Pool,Sharyn McCrumb,http://images.amazon.com/images/P/0345379144.01.LZZZZZZZ.jpg,Fawcett Books,20
58618,2276,345404793,9,Protect and Defend,Richard North Patterson,http://images.amazon.com/images/P/0345404793.01.LZZZZZZZ.jpg,Ballantine Books,38
58732,2276,345423615,9,The Silver Wolf,ALICE BORCHARDT,http://images.amazon.com/images/P/0345423615.01.LZZZZZZZ.jpg,Ballantine Books,23
58765,2276,345447867,9,The Apprentice,Tess Gerritsen,http://images.amazon.com/images/P/0345447867.01.LZZZZZZZ.jpg,Ballantine Books,50
58854,2276,038072880X,9,High Crimes,Joseph Finder,http://images.amazon.com/images/P/038072880X.01.LZZZZZZZ.jpg,Avon,25
58879,2276,380770210,8,All Fall Down,Carlene Thompson,http://images.amazon.com/images/P/0380770210.01.LZZZZZZZ.jpg,Avon Books,23
58916,2276,385505833,5,Skipping Christmas,JOHN GRISHAM,http://images.amazon.com/images/P/0385505833.01.LZZZZZZZ.jpg,Doubleday,103
59132,2276,425119653,8,Mutation,Robin Cook,http://images.amazon.com/images/P/0425119653.01.LZZZZZZZ.jpg,Berkley Publishing Group,48
59181,2276,425172546,9,Southern Cross,Patricia Daniels Cornwell,http://images.amazon.com/images/P/0425172546.01.LZZZZZZZ.jpg,Berkley Publishing Group,98
59380,2276,440128757,8,The Gift,Madeena S. Nolan,http://images.amazon.com/images/P/0440128757.01.LZZZZZZZ.jpg,Dell Publishing,124
59531,2276,440220793,7,The 13th Juror,John T. Lescroart,http://images.amazon.com/images/P/0440220793.01.LZZZZZZZ.jpg,Dell,29
59560,2276,440221471,10,The Runaway Jury,JOHN GRISHAM,http://images.amazon.com/images/P/0440221471.01.LZZZZZZZ.jpg,Dell,168
60158,2276,446609323,9,Black Friday,James Patterson,http://images.amazon.com/images/P/0446609323.01.LZZZZZZZ.jpg,Warner Vision,44
60610,2276,451204891,9,The Hearing,John Lescroart,http://images.amazon.com/images/P/0451204891.01.LZZZZZZZ.jpg,Signet Book,35
60733,2276,515130125,10,Blackout,John J. Nance,http://images.amazon.com/images/P/0515130125.01.LZZZZZZZ.jpg,Jove Books,26
60831,2276,553240307,10,Sudden Death,Rita Mae Brown,http://images.amazon.com/images/P/0553240307.01.LZZZZZZZ.jpg,Bantam Doubleday Dell,22
60879,2276,553263226,10,The Bourne Supremacy,Robert Ludlum,http://images.amazon.com/images/P/0553263226.01.LZZZZZZZ.jpg,Bantam,56
61066,2276,553575538,10,Stealing Shadows (Shadows Trilogy (Paperback)),Kay Hooper,http://images.amazon.com/images/P/0553575538.01.LZZZZZZZ.jpg,Bantam Books,40
61141,2276,553576801,8,The Perfect Husband,LISA GARDNER,http://images.amazon.com/images/P/0553576801.01.LZZZZZZZ.jpg,Bantam,41
61182,2276,553582526,9,Dust to Dust,TAMI HOAG,http://images.amazon.com/images/P/0553582526.01.LZZZZZZZ.jpg,Bantam,78
61318,2276,553583468,10,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg,Bantam Books,39
61357,2276,553584510,9,The Survivors Club,LISA GARDNER,http://images.amazon.com/images/P/0553584510.01.LZZZZZZZ.jpg,Bantam,45
61402,2276,553585118,10,Once a Thief,Kay Hooper,http://images.amazon.com/images/P/0553585118.01.LZZZZZZZ.jpg,Bantam Books,29
61431,2276,553585681,10,Always a Thief,Kay Hooper,http://images.amazon.com/images/P/0553585681.01.LZZZZZZZ.jpg,Bantam Books,27
61514,2276,671016768,8,Bloodstream,Tess Gerritsen,http://images.amazon.com/images/P/0671016768.01.LZZZZZZZ.jpg,Pocket,25
61817,2276,671660632,5,Dirk Gently's Holistic Detective Agency,Douglas Adams,http://images.amazon.com/images/P/0671660632.01.LZZZZZZZ.jpg,Pocket,32
61916,2276,671797050,10,FIRST WIVES CLUB,Olivia Goldsmith,http://images.amazon.com/images/P/0671797050.01.LZZZZZZZ.jpg,Pocket,46
62155,2276,743412753,9,No Way Out,Andrea Kane,http://images.amazon.com/images/P/0743412753.01.LZZZZZZZ.jpg,Pocket,25
62292,2276,805063897,10,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg,Owl Books,112
62462,2276,812513711,8,"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,http://images.amazon.com/images/P/0812513711.01.LZZZZZZZ.jpg,Tor Fantasy,25
62526,2276,812517725,8,"The Great Hunt (The Wheel of Time, Book 2)",Robert Jordan,http://images.amazon.com/images/P/0812517725.01.LZZZZZZZ.jpg,Tor Fantasy,23
62943,2766,60958022,8,Five Quarters of the Orange,Joanne Harris,http://images.amazon.com/images/P/0060958022.01.LZZZZZZZ.jpg,Perennial,79
63666,2766,380726815,6,Sights Unseen,Kaye Gibbons,http://images.amazon.com/images/P/0380726815.01.LZZZZZZZ.jpg,Avon,26
63956,2766,440219078,8,The Giver (21st Century Reference),LOIS LOWRY,http://images.amazon.com/images/P/0440219078.01.LZZZZZZZ.jpg,Laure Leaf,55
64011,2766,440221595,8,The Glass Lake,Maeve Binchy,http://images.amazon.com/images/P/0440221595.01.LZZZZZZZ.jpg,Dell,67
64217,2766,044048474X,7,Tales of a Fourth Grade Nothing,JUDY BLUME,http://images.amazon.com/images/P/044048474X.01.LZZZZZZZ.jpg,Yearling,50
64346,2766,446607339,8,Dead Even,Brad Meltzer,http://images.amazon.com/images/P/0446607339.01.LZZZZZZZ.jpg,Warner Vision,37
64389,2766,449005615,9,Seabiscuit: An American Legend,LAURA HILLENBRAND,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,Ballantine Books,69
64636,2766,553279912,7,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,http://images.amazon.com/images/P/0553279912.01.LZZZZZZZ.jpg,Bantam,140
64875,2766,670030643,8,The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,http://images.amazon.com/images/P/0670030643.01.LZZZZZZZ.jpg,Viking Books,41
65105,2766,679751602,6,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,http://images.amazon.com/images/P/0679751602.01.LZZZZZZZ.jpg,Vintage Books USA,46
65168,2766,684801221,10,OLD MAN AND THE SEA,Ernest Hemingway,http://images.amazon.com/images/P/0684801221.01.LZZZZZZZ.jpg,Scribner,23
65207,2766,688025072,9,The Wicked Day,Mary Stewart,http://images.amazon.com/images/P/0688025072.01.LZZZZZZZ.jpg,Harpercollins,30
65271,2766,767902521,8,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,http://images.amazon.com/images/P/0767902521.01.LZZZZZZZ.jpg,Broadway Books,47
65529,2766,842345523,9,More Than a Carpenter,Josh McDowell,http://images.amazon.com/images/P/0842345523.01.LZZZZZZZ.jpg,Tyndale House Publishers,26
65570,2766,849911672,7,Angels,Billy Graham,http://images.amazon.com/images/P/0849911672.01.LZZZZZZZ.jpg,Thomas Nelson,68
65829,2766,1566840287,7,The Christmas Box (Christmas Box Trilogy),Richard Paul Evans,http://images.amazon.com/images/P/1566840287.01.LZZZZZZZ.jpg,Pubs Wholesale,27
65992,2977,60981180,8,Mariette in Ecstasy,Ron Hansen,http://images.amazon.com/images/P/0060981180.01.LZZZZZZZ.jpg,Perennial,23
66098,2977,142001430,7,Year of Wonders,Geraldine Brooks,http://images.amazon.com/images/P/0142001430.01.LZZZZZZZ.jpg,Penguin Books,59
66478,2977,037570504X,5,"Breath, Eyes, Memory",Edwidge Danticat,http://images.amazon.com/images/P/037570504X.01.LZZZZZZZ.jpg,Vintage Books USA,68
66676,2977,425130215,9,Hocus Pocus,Kurt Vonnegut,http://images.amazon.com/images/P/0425130215.01.LZZZZZZZ.jpg,Berkley Publishing Group,24
66941,2977,449002632,8,London : The Novel,EDWARD RUTHERFURD,http://images.amazon.com/images/P/0449002632.01.LZZZZZZZ.jpg,Fawcett,35
67058,2977,525945210,6,A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,http://images.amazon.com/images/P/0525945210.01.LZZZZZZZ.jpg,Dutton Books,50
67259,2977,670894494,6,The Passion of Artemisia,Susan Vreeland,http://images.amazon.com/images/P/0670894494.01.LZZZZZZZ.jpg,Viking Books,41
68256,3363,60652934,7,The Screwtape Letters,C. S. Lewis,http://images.amazon.com/images/P/0060652934.01.LZZZZZZZ.jpg,Harper SanFrancisco,25
68923,3363,006098824X,10,Getting Over It,Anna Maxted,http://images.amazon.com/images/P/006098824X.01.LZZZZZZZ.jpg,Regan Books,31
69007,3363,64405176,10,Walk Two Moons,Sharon Creech,http://images.amazon.com/images/P/0064405176.01.LZZZZZZZ.jpg,HarperTrophy,26
69145,3363,64472795,10,"Princess in the Spotlight (The Princess Diaries, Vol. 2)",Meg Cabot,http://images.amazon.com/images/P/0064472795.01.LZZZZZZZ.jpg,HarperTrophy,34
69205,3363,006621016X,8,Filthy Rich,Dorothy Samuels,http://images.amazon.com/images/P/006621016X.01.LZZZZZZZ.jpg,William Morrow,31
69927,3363,312171838,10,Bachelor Brothers' Bed &amp; Breakfast,Bill Richardson,http://images.amazon.com/images/P/0312171838.01.LZZZZZZZ.jpg,St. Martin's Griffin,30
70676,3363,345403339,10,Saving Grace,LEE SMITH,http://images.amazon.com/images/P/0345403339.01.LZZZZZZZ.jpg,Ballantine Books,37
71140,3363,345453387,8,Dog Handling,CLARE NAYLOR,http://images.amazon.com/images/P/0345453387.01.LZZZZZZZ.jpg,Ballantine Books,32
71200,3363,373250118,7,See Jane Date (Red Dress Ink (Paperback)),Melissa Senate,http://images.amazon.com/images/P/0373250118.01.LZZZZZZZ.jpg,Red Dress Ink,36
71236,3363,373250126,8,Milkrun,Sarah Mlynowski,http://images.amazon.com/images/P/0373250126.01.LZZZZZZZ.jpg,Harlequin,38
71401,3363,373250207,10,Fishbowl (Red Dress Ink (Paperback)),Sarah Mlynowski,http://images.amazon.com/images/P/0373250207.01.LZZZZZZZ.jpg,Red Dress Ink,24
71448,3363,373250223,9,Name &amp; Address Withheld (Red Dress Ink (Paperback)),Jane Sigaloff,http://images.amazon.com/images/P/0373250223.01.LZZZZZZZ.jpg,Red Dress Ink,21
71759,3363,375706429,8,Otherwise Engaged,Suzanne Finnamore,http://images.amazon.com/images/P/0375706429.01.LZZZZZZZ.jpg,Vintage Books USA,24
72273,3363,380754843,8,Wayside School is Falling Down,Louis Sachar,http://images.amazon.com/images/P/0380754843.01.LZZZZZZZ.jpg,HarperTrophy,26
72367,3363,380814021,10,The Princess Diaries,Meg Cabot,http://images.amazon.com/images/P/0380814021.01.LZZZZZZZ.jpg,HarperTrophy,45
72560,3363,380973545,10,Letters from a Nut,Ted L. Nancy,http://images.amazon.com/images/P/0380973545.01.LZZZZZZZ.jpg,William Morrow,24
73201,3363,385722435,10,Ella Minnow Pea: A Novel in Letters,Mark Dunn,http://images.amazon.com/images/P/0385722435.01.LZZZZZZZ.jpg,Anchor Books/Doubleday,39
79524,4017,60517794,10,Little Altars Everywhere,Rebecca Wells,http://images.amazon.com/images/P/0060517794.01.LZZZZZZZ.jpg,HarperTorch,24
79551,4017,60915544,8,The Bean Trees,Barbara Kingsolver,http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg,Perennial,132
79696,4017,60929871,9,Brave New World,Aldous Huxley,http://images.amazon.com/images/P/0060929871.01.LZZZZZZZ.jpg,Perennial,70
79766,4017,60930187,10,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,http://images.amazon.com/images/P/0060930187.01.LZZZZZZZ.jpg,Perennial,21
79799,4017,60964049,9,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,http://images.amazon.com/images/P/0060964049.01.LZZZZZZZ.jpg,Perennial,33
79858,4017,140042598,10,On the Road,Jack Kerouac,http://images.amazon.com/images/P/0140042598.01.LZZZZZZZ.jpg,Penguin Books,29
79887,4017,140070206,10,Ironweed,William J. Kennedy,http://images.amazon.com/images/P/0140070206.01.LZZZZZZZ.jpg,Penguin Books,33
79929,4017,015600710X,10,Strange Fits of Passion: A Novel,Anita Shreve,http://images.amazon.com/images/P/015600710X.01.LZZZZZZZ.jpg,Harvest Books,30
79959,4017,156007754,9,Blindness (Harvest Book),Jose Saramago,http://images.amazon.com/images/P/0156007754.01.LZZZZZZZ.jpg,Harvest Books,27
80171,4017,156907399,9,To the Lighthouse,Virginia Woolf,http://images.amazon.com/images/P/0156907399.01.LZZZZZZZ.jpg,Harvest Books,40
80222,4017,312150601,5,Behind the Scenes at the Museum : A Novel,Kate Atkinson,http://images.amazon.com/images/P/0312150601.01.LZZZZZZZ.jpg,Picador,39
80297,4017,316789844,10,Resistance : A Novel,Anita Shreve,http://images.amazon.com/images/P/0316789844.01.LZZZZZZZ.jpg,Back Bay Books,23
80320,4017,316899984,5,"River, Cross My Heart",Breena Clarke,http://images.amazon.com/images/P/0316899984.01.LZZZZZZZ.jpg,Little Brown &amp; Company,80
80400,4017,345389247,10,Crazy in Alabama,Mark Childress,http://images.amazon.com/images/P/0345389247.01.LZZZZZZZ.jpg,Ballantine Books,26
80450,4017,345423097,10,Joy School (Ballantine Reader's Circle),ELIZABETH BERG,http://images.amazon.com/images/P/0345423097.01.LZZZZZZZ.jpg,Ballantine Books,24
80474,4017,345423291,9,What We Keep : A Novel (Ballantine Reader's Circle),Elizabeth Berg,http://images.amazon.com/images/P/0345423291.01.LZZZZZZZ.jpg,Ballantine Books,26
80500,4017,345424719,10,A Widow for One Year,JOHN IRVING,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg,Ballantine Books,97
80597,4017,345433491,9,Hanna's Daughters (Ballantine Reader's Circle),Marianne Fredriksson,http://images.amazon.com/images/P/0345433491.01.LZZZZZZZ.jpg,Ballantine Books,29
